"Matricula";"Ano";"Turma";"Horario";"Professor";"Codigo_curso";"Curso";"Prova";"Questao";"Acertou";"Nome.questao";"arquivos";"Numero.prova"
150147571;2015;"DA";"16-18";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800452;5;TRUE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_24.pdf";1
160007640;2016;"AA";"08/out";"CIRA ETHEOWALDA";"03221";"Ciências Econômicas";19091800019;5;FALSE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_19.pdf";1
160010055;2016;"DA";"16-18";"LUCAS MOREIRA";"01368";"Outros";19091800442;5;FALSE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_14.pdf";1
160012775;2016;"CC";"14-16";"EDUARDO YOSHIO";"01449";"Outros";19091800426;5;TRUE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_58.pdf";1
160015243;2016;"AA";"08/out";"CIRA ETHEOWALDA";"01325";"Outros";19091800028;5;TRUE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_28.pdf";1
160020522;2016;"AB";"08/out";"ROBERTO VILA";"01449";"Outros";19091800102;5;FALSE;"09_distribuicao_poisson_06.Rnw";"Solucao_AB_40.pdf";1
160028001;2016;"BB";"10/dez";"THAIS CARVALHO";"06424";"Engenharia Mecânica";19091800231;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_48.pdf";1
160029864;2016;"AA";"08/out";"CIRA ETHEOWALDA";"03221";"Ciências Econômicas";19091800053;5;FALSE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_53.pdf";1
160032326;2016;"BA";"10/dez";"JOSE AUGUSTO";"08516";"Ciências Contábeis";19091800164;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_39.pdf";1
160047579;2016;"EA";"18-21";"JHAMES MATOS";"06017";"Engenharia De Produção";19091800523;5;FALSE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_16.pdf";1
160048265;2016;"AA";"08/out";"CIRA ETHEOWALDA";"03221";"Ciências Econômicas";19091800047;5;FALSE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_47.pdf";1
160050936;2016;"EA";"18-21";"JHAMES MATOS";"03221";"Ciências Econômicas";19091800546;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_39.pdf";1
160068177;2016;"EA";"18-21";"JHAMES MATOS";"06254";"Engenharia Ambiental";19091800529;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_22.pdf";1
160085055;2016;"BB";"10/dez";"THAIS CARVALHO";"01741";"Engenharia de Computação";19091800210;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_27.pdf";1
160110891;2016;"CB";"14-16";"LUCAS MOREIRA";"06521";"Outros";19091800325;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_17.pdf";1
160114446;2016;"CC";"14-16";"EDUARDO YOSHIO";"06254";"Engenharia Ambiental";19091800422;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_54.pdf";1
160114713;2016;"DA";"16-18";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800503;5;FALSE;"04_teorema_Bayes_02.Rnw";"Solucao_DB_44.pdf";1
160117208;2016;"EA";"18-21";"JHAMES MATOS";"01899";"Outros";19091800559;5;FALSE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_52.pdf";1
160117666;2016;"BB";"10/dez";"THAIS CARVALHO";"06254";"Engenharia Ambiental";19091800229;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_46.pdf";1
160123453;2016;"AB";"08/out";"ROBERTO VILA";"01589";"Outros";19091800087;5;FALSE;"09_distribuicao_poisson_06.Rnw";"Solucao_AB_25.pdf";1
160125073;2016;"CA";"14-16";"ANDRE LUIZ";"06912";"Ciências Contábeis";19091800273;5;FALSE;"04_teorema_Bayes_06.Rnw";"Solucao_CA_29.pdf";1
160126029;2016;"BB";"10/dez";"THAIS CARVALHO";"06254";"Engenharia Ambiental";19091800228;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_45.pdf";1
160128331;2016;"DB";"16-18";"LUCAS MOREIRA";"01856";"Ciência da Computação";19091800492;5;FALSE;"01_medida_probabilidade_07.Rnw";"Solucao_DB_33.pdf";1
160136555;2016;"CB";"14-16";"LUCAS MOREIRA";"01449";"Outros";19091800336;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_28.pdf";1
160144647;2016;"BA";"10/dez";"JOSE AUGUSTO";"01741";"Engenharia de Computação";19091800130;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_05.pdf";1
160146186;2016;"AB";"08/out";"ROBERTO VILA";"06254";"Engenharia Ambiental";19091800071;5;TRUE;"09_distribuicao_poisson_06.Rnw";"Solucao_AB_09.pdf";1
160147140;2016;"DB";"16-18";"LUCAS MOREIRA";"01899";"Outros";19091800461;5;FALSE;"01_medida_probabilidade_07.Rnw";"Solucao_DB_02.pdf";1
160147620;2016;"BA";"10/dez";"JOSE AUGUSTO";"06351";"Engenharia De Redes De Comunicação";19091800134;5;FALSE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_09.pdf";1
160152194;2016;"CA";"14-16";"ANDRE LUIZ";"06351";"Engenharia De Redes De Comunicação";19091800251;5;TRUE;"04_teorema_Bayes_06.Rnw";"Solucao_CA_07.pdf";1
160152470;2016;"BA";"10/dez";"JOSE AUGUSTO";"06220";"Engenharia Civil";19091800171;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_46.pdf";1
160152526;2016;"DA";"16-18";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800445;5;FALSE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_17.pdf";1
160153816;2016;"AB";"08/out";"ROBERTO VILA";"06131";"Outros";19091800088;5;FALSE;"09_distribuicao_poisson_06.Rnw";"Solucao_AB_26.pdf";1
170004457;2017;"CA";"14-16";"ANDRE LUIZ";"06297";"Outros";19091800304;5;FALSE;"04_teorema_Bayes_06.Rnw";"Solucao_CA_60.pdf";1
170008517;2017;"BA";"10/dez";"JOSE AUGUSTO";"01236";"Outros";19091800146;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_21.pdf";1
170009581;2017;"DA";"16-18";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800453;5;FALSE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_25.pdf";1
170010465;2017;"AB";"08/out";"ROBERTO VILA";"06254";"Engenharia Ambiental";19091800105;5;FALSE;"09_distribuicao_poisson_06.Rnw";"Solucao_AB_43.pdf";1
170010741;2017;"EA";"18-21";"JHAMES MATOS";"06017";"Engenharia De Produção";19091800522;5;FALSE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_15.pdf";1
170012212;2017;"CB";"14-16";"LUCAS MOREIRA";"06220";"Engenharia Civil";19091800327;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_19.pdf";1
170012506;2017;"BB";"10/dez";"THAIS CARVALHO";"01741";"Engenharia de Computação";19091800237;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_54.pdf";1
170013367;2017;"BB";"10/dez";"THAIS CARVALHO";"01741";"Engenharia de Computação";19091800197;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_14.pdf";1
170013936;2017;"BA";"10/dez";"JOSE AUGUSTO";"01236";"Outros";19091800152;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_27.pdf";1
170014410;2017;"BB";"10/dez";"THAIS CARVALHO";"01589";"Outros";19091800196;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_13.pdf";1
170015734;2017;"AB";"08/out";"ROBERTO VILA";"06254";"Engenharia Ambiental";19091800072;5;FALSE;"09_distribuicao_poisson_06.Rnw";"Solucao_AB_10.pdf";1
170016846;2017;"AA";"08/out";"CIRA ETHEOWALDA";"03221";"Ciências Econômicas";19091800015;5;TRUE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_15.pdf";1
170016943;2017;"CA";"14-16";"ANDRE LUIZ";"06424";"Engenharia Mecânica";19091800276;5;TRUE;"04_teorema_Bayes_06.Rnw";"Solucao_CA_32.pdf";1
170020509;2017;"CB";"14-16";"LUCAS MOREIRA";"06017";"Engenharia De Produção";19091800364;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_56.pdf";1
170033236;2017;"BA";"10/dez";"JOSE AUGUSTO";"01112";"Administração";19091800163;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_38.pdf";1
170045129;2017;"EA";"18-21";"JHAMES MATOS";"03221";"Ciências Econômicas";19091800554;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_47.pdf";1
170050084;2017;"EA";"18-21";"JHAMES MATOS";"01856";"Ciência da Computação";19091800518;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_11.pdf";1
170050840;2017;"DA";"16-18";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800455;5;TRUE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_27.pdf";1
170056660;2017;"CC";"14-16";"EDUARDO YOSHIO";"01147";"Outros";19091800421;5;TRUE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_53.pdf";1
170057691;2017;"EA";"18-21";"JHAMES MATOS";"06017";"Engenharia De Produção";19091800537;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_30.pdf";1
170063666;2017;"DB";"16-18";"LUCAS MOREIRA";"01856";"Ciência da Computação";19091800465;5;FALSE;"01_medida_probabilidade_07.Rnw";"Solucao_DB_06.pdf";1
170064255;2017;"BB";"10/dez";"THAIS CARVALHO";"03221";"Ciências Econômicas";19091800188;5;TRUE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_05.pdf";1
170070662;2017;"AA";"08/out";"CIRA ETHEOWALDA";"08885";"Outros";19091800003;5;FALSE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_03.pdf";1
170071332;2017;"BB";"10/dez";"THAIS CARVALHO";"01741";"Engenharia de Computação";19091800185;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_02.pdf";1
170071804;2017;"EA";"18-21";"JHAMES MATOS";"01899";"Outros";19091800508;5;FALSE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_01.pdf";1
170072291;2017;"CA";"14-16";"ANDRE LUIZ";"06912";"Ciências Contábeis";19091800274;5;FALSE;"04_teorema_Bayes_06.Rnw";"Solucao_CA_30.pdf";1
170078591;2017;"AA";"08/out";"CIRA ETHEOWALDA";"03221";"Ciências Econômicas";19091800046;5;FALSE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_46.pdf";1
170079007;2017;"EA";"18-21";"JHAMES MATOS";"06017";"Engenharia De Produção";19091800520;5;FALSE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_13.pdf";1
170079813;2017;"CC";"14-16";"EDUARDO YOSHIO";"06351";"Engenharia De Redes De Comunicação";19091800397;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_29.pdf";1
170080111;2017;"CC";"14-16";"EDUARDO YOSHIO";"01325";"Outros";19091800427;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_59.pdf";1
170098699;2017;"BA";"10/dez";"JOSE AUGUSTO";"06254";"Engenharia Ambiental";19091800166;5;FALSE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_41.pdf";1
170098893;2017;"EA";"18-21";"JHAMES MATOS";"06254";"Engenharia Ambiental";19091800532;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_25.pdf";1
170099695;2017;"DA";"16-18";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800449;5;FALSE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_21.pdf";1
170099849;2017;"EA";"18-21";"JHAMES MATOS";"06254";"Engenharia Ambiental";19091800557;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_50.pdf";1
170103323;2017;"DB";"16-18";"LUCAS MOREIRA";"06912";"Ciências Contábeis";19091800502;5;TRUE;"01_medida_probabilidade_07.Rnw";"Solucao_DB_43.pdf";1
170105067;2017;"BA";"10/dez";"JOSE AUGUSTO";"01741";"Engenharia de Computação";19091800129;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_04.pdf";1
170108716;2017;"EA";"18-21";"JHAMES MATOS";"06017";"Engenharia De Produção";19091800519;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_12.pdf";1
170108732;2017;"CC";"14-16";"EDUARDO YOSHIO";"06254";"Engenharia Ambiental";19091800403;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_35.pdf";1
170110656;2017;"BB";"10/dez";"THAIS CARVALHO";"03221";"Ciências Econômicas";19091800193;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_10.pdf";1
170110877;2017;"AB";"08/out";"ROBERTO VILA";"60844";"Engenharia Química";19091800115;5;FALSE;"09_distribuicao_poisson_06.Rnw";"Solucao_AB_53.pdf";1
170111148;2017;"DA";"16-18";"LUCAS MOREIRA";"06424";"Engenharia Mecânica";19091800450;5;FALSE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_22.pdf";1
170111644;2017;"CB";"14-16";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800367;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_59.pdf";1
